time,timeOfYear,T_dry_bulb,T_dew,rel_hum,ext_hor_rad,ext_dir_rad,hor_IR_rad,hor_rad,dir_rad,diff_hor_rad,wind_dir,wind_speed
0,15552000,15.6,10.6,72,0,0,322,0,0,0,280,5.7
3600,15555600,14.4,10.6,78,0,0,316,0,0,0,280,5.2
7200,15559200,14.4,10.6,78,0,0,316,0,0,0,280,4.1
10800,15562800,14.4,10.6,78,0,0,316,0,0,0,280,1.5
14400,15566400,14.4,10.6,78,0,0,316,0,0,0,270,2.1
18000,15570000,13.9,10,77,0,0,314,0,0,0,280,2.1
21600,15573600,14.4,10,75,0,0,316,0,0,0,270,2.1
25200,15577200,15,10,72,1,143,318,0,1,0,0,0
28800,15580800,15.6,11.7,78,140,1321,323,51,186,31,270,2.1
32400,15584400,19.4,13.3,68,388,1321,342,214,510,64,0,0
36000,15588000,20.6,13.9,65,633,1321,348,417,676,93,30,3.1
39600,15591600,21.1,14.4,66,856,1321,351,614,767,116,360,4.1
43200,15595200,22.8,14.4,59,1043,1321,359,782,821,134,360,3.1
46800,15598800,25,13.9,50,1181,1321,370,906,851,145,10,2.6
50400,15602400,27.8,11.7,37,1259,1321,381,977,866,151,60,2.1
54000,15606000,32.2,12.8,31,1274,1321,405,990,869,152,290,4.6
57600,15609600,32.8,12.8,30,1223,1321,408,945,860,148,290,6.7
61200,15613200,30,12.2,33,1111,1321,393,843,837,139,280,8.8
64800,15616800,28.3,11.7,36,945,1321,383,693,794,125,290,10.3
68400,15620400,26.1,11.7,41,735,1321,372,507,723,104,290,11.3
72000,15624000,25.6,11.7,42,498,1321,370,292,569,77,280,9.3
75600,15627600,25,11.1,42,249,1321,366,111,335,48,280,6.7
79200,15631200,19.4,11.7,61,34,738,340,8,30,6,290,6.7
82800,15634800,18.3,11.1,63,0,0,334,0,0,0,290,5.7
86400,15638400,17.3,10.5,70,0,0,329,0,0,0,280,5.5
90000,15642000,16.2,10,70,0,0,324,0,0,0,280,5.2
93600,15645600,15.2,9.4,72,0,0,319,0,0,0,280,5
97200,15649200,14.2,8.9,74,0,0,314,0,0,0,270,4.8
100800,15652800,13.2,8.3,75,0,0,309,0,0,0,280,4.6
104400,15656400,12.1,7.8,76,0,0,303,0,0,0,280,4.3
108000,15660000,11.1,7.2,77,0,0,299,0,0,0,290,4.1
111600,15663600,11.8,7.4,74,1,143,302,1,0,1,290,4.1
115200,15667200,12.6,7.7,72,139,1321,306,44,68,36,300,4.1
118800,15670800,13.3,7.8,69,387,1321,309,193,360,88,300,4.1
122400,15674400,15,7.9,62,632,1321,316,397,551,133,300,5
126000,15678000,16.6,7.7,56,855,1321,323,599,662,169,310,5.8
129600,15681600,18.3,7.2,49,1042,1321,330,776,732,196,310,6.7
133200,15685200,18.1,7.6,50,1180,1321,330,902,770,213,300,7.2
136800,15688800,18,7.8,51,1259,1321,329,976,789,222,290,7.7
140400,15692400,17.8,7.8,52,1274,1321,328,993,796,223,280,8.2
144000,15696000,17.8,7.9,52,1223,1321,329,945,783,218,280,9.2
147600,15699600,17.8,7.9,52,1111,1321,329,839,753,205,280,10.3
151200,15703200,17.8,7.8,52,944,1321,328,683,699,182,280,11.3
154800,15706800,16.5,8.3,59,735,1321,323,490,611,150,280,12.2
158400,15710400,15.2,8.6,65,498,1321,318,282,460,108,280,13
162000,15714000,13.9,8.9,72,249,1321,312,99,203,61,280,13.9
165600,15717600,13.5,8.9,73,34,738,311,14,5,13,280,11.8
169200,15721200,13.2,8.7,74,0,0,309,0,0,0,280,9.8
172800,15724800,12.8,8.3,75,0,0,307,0,0,0,280,7.7
176400,15728400,12.8,8.4,74,0,0,307,0,0,0,280,7.4
180000,15732000,12.8,8.2,73,0,0,307,0,0,0,290,7
183600,15735600,12.8,7.8,72,0,0,306,0,0,0,290,6.7
187200,15739200,12.6,7.9,72,0,0,306,0,0,0,300,6.5
190800,15742800,12.4,7.6,72,0,0,305,0,0,0,300,6.4
194400,15746400,12.2,7.2,72,0,0,303,0,0,0,310,6.2
198000,15750000,12.9,7.4,70,1,143,306,1,0,1,310,5.9
201600,15753600,13.7,7.7,67,137,1321,310,46,118,34,310,5.5
205200,15757200,14.4,7.8,65,385,1321,313,205,443,75,310,5.2
208800,15760800,15.9,7.7,58,630,1321,320,409,624,110,310,5
212400,15764400,17.4,7.4,52,854,1321,326,609,724,139,300,4.8
216000,15768000,18.9,6.7,45,1041,1321,332,781,786,160,300,4.6
219600,15771600,19.3,6.7,44,1179,1321,334,907,818,174,300,5.6
223200,15775200,19.6,6.5,42,1258,1321,335,978,834,181,290,6.7
226800,15778800,20,6.1,41,1273,1321,337,992,839,182,290,7.7
230400,15782400,19.3,7.3,47,1223,1321,335,945,826,178,290,8.2
234000,15786000,18.5,8.4,52,1111,1321,332,840,799,167,280,8.8
237600,15789600,17.8,9.4,58,944,1321,330,688,752,150,280,9.3
241200,15793200,16.5,9.9,65,735,1321,331,487,662,118,280,8.4
244800,15796800,15.2,10.3,73,498,1321,330,269,453,98,290,7.6
248400,15800400,13.9,10.6,80,248,1321,328,95,169,64,290,6.7
252000,15804000,13.5,10.2,79,33,738,322,8,9,7,280,5.8
255600,15807600,13.2,9.7,78,0,0,320,0,0,0,280,5
259200,15811200,12.8,8.9,77,0,0,314,0,0,0,270,4.1
262800,15814800,12.8,9.3,78,0,0,324,0,0,0,270,4.8
266400,15818400,12.8,9.5,79,0,0,329,0,0,0,280,5.5
270000,15822000,12.8,9.4,80,0,0,346,0,0,0,280,6.2
273600,15825600,13,9.7,79,0,0,347,0,0,0,280,5.9
277200,15829200,13.1,9.6,79,0,0,357,0,0,0,290,5.5
280800,15832800,13.3,9.4,78,0,0,358,0,0,0,290,5.2
284400,15836400,13.3,9.4,78,1,121,358,0,0,0,290,5.4
288000,15840000,13.3,9.5,78,136,1321,358,24,1,24,290,5.5
291600,15843600,13.3,9.4,78,383,1321,358,105,0,105,290,5.7
295200,15847200,13.9,9.9,76,628,1321,352,177,78,139,280,5.5
298800,15850800,14.4,10.1,74,853,1321,354,255,55,219,280,5.4
302400,15854400,15,10,72,1040,1321,350,499,273,283,270,5.2
306000,15858000,15.6,10.4,70,1178,1321,353,718,396,364,270,6.4
309600,15861600,16.1,10.6,69,1258,1321,356,625,271,366,280,7.6
