time,timeOfYear,T_dry_bulb,T_dew,rel_hum,ext_hor_rad,ext_dir_rad,hor_IR_rad,hor_rad,dir_rad,diff_hor_rad,wind_dir,wind_speed
0,0,7.2,5.6,90,0,0,290,0,0,0,0,0
3600,3600,7.2,5.6,90,0,0,290,0,0,0,0,0
7200,7200,7.2,5.6,90,0,0,296,0,0,0,170,2.1
10800,10800,6.7,5,89,0,0,291,0,0,0,210,2.1
14400,14400,6.1,5,93,0,0,276,0,0,0,200,1.5
18000,18000,4.4,3.9,97,0,0,280,0,0,0,260,3.1
21600,21600,4.4,3.9,97,0,0,280,0,0,0,180,2.1
25200,25200,6.1,4.4,89,0,0,287,0,0,0,0,0
28800,28800,5,2.8,86,36,790,281,2,69,1,0,0
32400,32400,7.8,5,82,243,1415,295,121,477,39,0,0
36000,36000,8.9,6.7,86,443,1415,299,276,651,71,0,0
39600,39600,9.4,7.2,86,590,1415,292,387,677,104,30,1.5
43200,43200,10,7.2,83,674,1415,294,419,542,159,40,1.5
46800,46800,10.6,7.8,83,689,1415,297,417,532,156,50,1.5
50400,50400,11.1,8.3,83,635,1415,300,397,543,152,0,0
54000,54000,13.9,4.4,53,515,1415,308,352,643,117,0,0
57600,57600,13.9,2.8,47,337,1415,306,204,449,97,330,3.1
61200,61200,11.1,6.7,74,116,1415,298,0,0,0,350,3.1
64800,64800,11.1,5.6,69,0,12,297,0,0,0,310,1.5
68400,68400,10.6,2.8,58,0,0,292,0,0,0,270,1.5
72000,72000,10.6,3.3,61,0,0,293,0,0,0,200,2.1
75600,75600,8.9,2.8,66,0,0,285,0,0,0,200,2.1
79200,79200,9.4,2.2,61,0,0,287,0,0,0,250,2.1
82800,82800,7.8,3.9,76,0,0,282,0,0,0,170,1.5
86400,86400,6.7,3.9,82,0,0,277,0,0,0,120,2.6
90000,90000,8.9,6.1,83,0,0,288,0,0,0,70,2.1
93600,93600,6.1,2.8,79,0,0,279,0,0,0,0,0
97200,97200,5.6,3.3,85,0,0,278,0,0,0,0,0
100800,100800,3.9,1.7,86,0,0,276,0,0,0,0,0
104400,104400,5.6,3.3,85,0,0,273,0,0,0,190,1.5
108000,108000,7.2,3.9,80,0,0,279,0,0,0,100,3.1
111600,111600,7.8,2.8,71,0,0,281,0,0,0,130,4.1
115200,115200,7.2,3.9,80,36,790,279,2,72,1,130,5.7
118800,118800,10.6,2.8,58,243,1415,292,114,402,45,110,6.2
122400,122400,11.7,3.3,56,443,1415,297,271,590,85,120,5.2
126000,126000,13.9,1.7,44,591,1415,305,349,490,144,100,3.6
129600,129600,13.9,2.8,47,675,1415,312,453,667,133,100,4.1
133200,133200,13.9,3.9,51,691,1415,313,466,708,119,0,0
136800,136800,13.9,4.4,53,638,1415,314,370,395,191,40,2.1
140400,140400,12.2,7.8,74,518,1415,310,313,508,127,40,2.1
144000,144000,12.8,5.6,62,340,1415,310,202,410,103,350,3.1
147600,147600,11.1,7.2,77,120,1415,299,0,0,0,360,4.1
151200,151200,10.6,6.7,77,0,35,306,0,0,0,0,0
154800,154800,11.7,4.4,61,0,0,298,0,0,0,0,0
158400,158400,11.7,2.8,54,0,0,297,0,0,0,150,1.5
162000,162000,10,5.6,74,0,0,292,0,0,0,80,1.5
165600,165600,8.9,6.7,86,0,0,289,0,0,0,0,0
169200,169200,9.4,6.1,80,0,0,290,0,0,0,0,0
172800,172800,8.9,4.4,73,0,0,287,0,0,0,0,0
176400,176400,9.4,6.1,80,0,0,290,0,0,0,90,2.6
180000,180000,10,4.4,68,0,0,291,0,0,0,90,5.2
183600,183600,12.2,2.8,53,0,0,299,0,0,0,60,1.5
187200,187200,13.9,1.1,42,0,0,304,0,0,0,50,8.2
190800,190800,12.8,2.8,51,0,0,301,0,0,0,40,11.3
194400,194400,12.2,2.8,53,0,0,299,0,0,0,30,10.3
